subject,model,backend,target,target_label,polarity,polarity_label,opto,opto_amp,magnitude,M,n_trials,n_param_rows,param_nll_per_trial,frac_correct
A95,temporalU,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,4445,1,0.7635993645597607,0.36655343082114655
A95,temporalU,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,4445,1,0.7635993645597607,0.5716389201349831
A95,temporalU,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,4445,1,0.7635993645597607,0.4746951631046115
A95,temporalU,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,4445,1,0.7635993645597607,0.5716389201349831
A95,temporalU,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,4445,1,0.7635993645597607,0.46568728908886337
A95,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,4445,1,0.7635993645597607,0.5716389201349831
A95,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,4445,1,0.7635993645597607,0.370364454443194
A96,temporalU,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,6853,1,0.7152584516508304,0.5187231869254341
A96,temporalU,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,6853,1,0.7152584516508304,0.37402451481103227
A96,temporalU,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,6853,1,0.7152584516508304,0.5187231869254341
A96,temporalU,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,6853,1,0.7152584516508304,0.4390281628483874
A96,temporalU,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,6853,1,0.7152584516508304,0.5187231869254341
A96,temporalU,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,6853,1,0.7152584516508304,0.4542346417627304
A96,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,6853,1,0.7152584516508304,0.5187231869254341
A96,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,6853,1,0.7152584516508304,0.3555866044068299
