subject,model,backend,target,target_label,polarity,polarity_label,opto,opto_amp,magnitude,M,n_trials,n_param_rows,param_nll_per_trial,frac_correct
A95,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,2.0,2.0,200,2827,14,0.7599761659321883,5.305978068623983e-06
A95,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,2.0,200,2827,14,0.7599761659321883,0.5967191368942343
A95,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-2.0,2.0,200,2827,14,0.7599761659321883,0.7307216130173331
A96,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,2.0,200,2264,14,0.7096958385545844,0.6773851590106008
A96,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,2.0,2.0,200,2264,14,0.7096958385545844,1.0
A96,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,2.0,200,2264,14,0.7096958385545844,0.6773851590106008
A96,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-2.0,2.0,200,2264,14,0.7096958385545844,0.0
A96,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,2.0,200,4589,14,0.7096958385545844,0.5972281542819785
A96,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,2.0,2.0,200,4589,14,0.7096958385545844,1.961211592939638e-05
A96,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,2.0,200,4589,14,0.7096958385545844,0.5972281542819785
A96,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-2.0,2.0,200,4589,14,0.7096958385545844,0.7539409457398124
