subject,model,sL,sC,sR,noise_amp,S_amplitude,S_d,U_int_amplitude,U_int_baseline,U_ext_amplitude,nll,nll/trial,U_int_onset,rel_vs_ceiling_bal
A89,spatialU,-0.22274242630010122,0.025784032553929137,-0.18273741908706143,1.999932407074739,0.6477505605373881,0.16574929684065864,4.716013791039586e-06,-1.4021027537964983,2.0090670745412353,8065.578162883289,0.8068805685157352,,0.758856099829083
A89,spatialU,-0.7154757403477561,-0.4313030662306119,-0.7169104954664363,1.9631593173282456,0.6364872292464133,0.14353339569643137,0.14406407938804477,-3.0962840524152853,4.135860361915547,8059.300138317568,0.8062525148376919,,0.7604898006976561
A89,spatialU,1.619375168877923,1.8975452422791932,1.8282663054571913,1.9909902516471099,0.7084558932202708,0.5316724103759498,0.01389456197648542,-4.401511876248605,3.644906159453967,6008.738601406888,0.801485741150712,,0.7728891904074213
A89,spatialU,-0.6394163375530866,-0.3543050740250351,-0.7056241147003561,1.9988121525283828,0.9922300622283546,0.946965871352586,0.0,-2.0923302434637208,3.9748059761570858,8087.201903997038,0.809043807922873,,0.7532290551640746
A89,spatialU,-0.6123372580560256,-0.6023182892768499,-0.6263486620091818,0.4897582315266771,0.09417081593789789,0.1782948507735192,0.960798468281844,-1.3441153433403041,1.192886489246817,7551.267955012588,0.755428967088094,,0.892692631451174
A86,spatialU,0.6408320045509015,1.4476320234212352,0.9784766462214805,1.999249558531949,0.6491128937126212,0.9999972425154,0.00019457855717064376,-2.604966554887227,2.2035209331046417,5887.378146015204,0.7852978719508076,,0.7768257290404932
A93,spatialU,0.6940032843186259,1.3564753224018489,0.8890145143279256,1.9999999863066527,0.5727988712890192,0.6577471170800039,1.163456647645944e-05,-1.975962410972926,1.470834001256435,4671.8331951019045,0.7811123884136273,,0.779912807563419
A89,spatialU,-0.16324646055124958,-0.08445339034318522,-0.1687565183812012,0.8174111238374815,0.2191307158269774,0.4037411319664329,0.001209490902510879,-1.8511035722845008,2.352301830803981,8071.135137985708,0.8074364883939283,,0.7574100342782997
A92,spatialU,1.1767777769082102,1.4117916105224424,1.4021320796380934,1.6053446671730465,0.4387520583098933,0.685649364716494,0.05838695696763807,-1.903486237169517,1.1979224320198796,6305.839149397389,0.8411149992526862,,0.7220701736328776
A89,spatialU,0.7756747322855517,1.0497510156710632,0.8481523492955603,1.928653812238481,0.5382995430892333,0.9355873160646297,0.0,-2.72745091910474,2.3458835354540497,8054.727513365304,0.8057950693642761,,0.7616797134286386
