subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A89;spatialU;-0.5210526403846645;-0.35512191389482695;-0.49539597469698116;1.7256789235429117;0.38163552168571385;0.9999999999999993;0.004342654950228564;-1.9847493510633445;2.500885001159425;8057.582926670402;9996;0.806080724957023;18681.181435550076
A87;spatialU;0.17236661911010742;0.5983521938323975;0.21833324432373047;1.9992452548220985;0.6381318473815918;0.3007349014282227;0.0;-1.581331729888916;1.6848554611206055;5865.511126934836;7497;0.7823811026990578;18445.821505885495
A86;spatialU;0.6408320045509015;1.4476320234212352;0.9784766462214805;1.999249558531949;0.6491128937126212;0.9999972425154;0.00019457855717064376;-2.604966554887227;2.2035209331046417;5887.378146015204;7497;0.7852978719508076;18041.345486754733
A84;spatialU;1.0066514331741274;0.5525628792909032;0.999103917839193;1.8475775681481266;1.6562691728975256;0.8247470470584745;0.9626883989451471;0.7582645775005687;4.9569055574559115;479.18333857469213;651;0.7360727167045962;475.161670917883
A89;spatialU;0.7756747322855517;1.0497510156710632;0.8481523492955603;1.928653812238481;0.5382995430892333;0.9355873160646297;0.0;-2.72745091910474;2.3458835354540497;8054.727513365304;9996;0.8057950693642761;18692.230089548826
A83;spatialU;0.5276069194078445;0.7322240956127644;0.36605894565582275;1.897390190285391;0.7613380122184754;0.7632724404335023;0.0;-1.8754690289497375;2.1555704325437546;5775.509633029355;7489;0.7711990430003145;13789.780056680003
A89;spatialU;-0.6394163375530866;-0.3543050740250351;-0.7056241147003561;1.9988121525283828;0.9922300622283546;0.946965871352586;0.0;-2.0923302434637208;3.9748059761570858;8087.201903997038;9996;0.809043807922873;18814.55444886471
A93;spatialU;0.6940032843186259;1.3564753224018489;0.8890145143279256;1.9999999863066527;0.5727988712890192;0.6577471170800039;1.163456647645944e-05;-1.975962410972926;1.470834001256435;4671.8331951019045;5981;0.7811123884136273;8331.882700342161
A92;spatialU;1.1767777769082102;1.4117916105224424;1.4021320796380934;1.6053446671730465;0.4387520583098933;0.685649364716494;0.05838695696763807;-1.903486237169517;1.1979224320198796;6305.839149397389;7497;0.8411149992526862;26597.195984148784
A89;spatialU;-0.22274242630010122;0.025784032553929137;-0.18273741908706143;1.999932407074739;0.6477505605373881;0.16574929684065864;4.716013791039586e-06;-1.4021027537964983;2.0090670745412353;8065.578162883289;9996;0.8068805685157352;18711.501670604084
