subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_int_onset;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A86;spatial_reduced3;-0.1521613107206576;0.0;-0.0769049235641432;1.0;0.1916189908343221;0.3704120101241642;1.4438099717663135;-1.0;0.0;0.0;7326.925484048575;9996.0;0.7329857427019383;16426.888033189494
A96;spatial_reduced3;-0.1869491835823282;0.0;-0.1340914844186045;1.0;0.2315470270579681;0.0008455598377622;1.6786766052246094;-1.0;0.0;0.0;4893.9509477098345;6884.0;0.710916755913689;6961.411661748259
A95;spatial_reduced3;-0.098064512014389;0.0;-0.0960786938667297;1.0;0.2090783023834228;5.960464455334602e-09;1.6121517419815063;-1.0;0.0;0.0;4025.869309945381;5220.0;0.7712393314071612;3981.064690838559
A93;spatial_reduced3;-0.1106862723827362;0.0;-0.1003512293100357;1.0;0.2179492104053497;5.960464455334602e-09;1.5491305589675903;-1.0;0.0;0.0;5414.882670512951;7409.0;0.7308520273333717;7611.559276434906
A83;spatial_reduced3;-0.0110297122466818;0.0;-0.0472799150246032;1.0;0.1766586862871281;0.5793207471194592;1.3824631620964285;-1.0;0.0;0.0;7014.720707650185;9451.0;0.742219945788825;12765.897538468802
A92;spatial_reduced3;-0.0608378459345715;0.0;0.0118262204669576;1.0;0.1561076952632936;0.6125559472490608;1.2617397453587955;-1.0;0.0;0.0;8131.035342247938;9996.0;0.8134289057871087;25242.36543691663
A95;spatial_reduced3;-0.0970985028252471;0.0;-0.0968232874874956;1.0;0.2091658647335134;0.0050344473711447;1.5948100191308183;-1.0;0.0;0.0;4020.3774461494368;5220.0;0.7701872502201986;3985.2175566651495
A89;spatial_reduced3;0.0029864056980954;0.0;0.0244152545512861;1.0;0.170861509060187;0.6977560916699872;1.1676751330969637;-1.0;0.0;0.0;7563.050063322013;9996.0;0.756607649391958;17137.46154251772
A83;spatial_reduced3;0.0011503426797254;0.0;-0.0299655429050007;1.0;0.1753661158772111;0.6376321506535411;1.3128497699885884;-1.0;0.0;0.0;7017.614900502563;9451.0;0.7425261771772894;12767.34601957916
A93;spatial_reduced3;-0.1123434741748496;0.0;-0.0958889015601016;1.0;0.2110150509001687;1.7448072321679664e-05;1.5922671961598098;-1.0;0.0;0.0;5420.602499420509;7409.0;0.7316240382535442;7582.63894681805
A84;spatial_reduced3;0.0860580542575917;0.0;0.12510965034744;1.0;0.2509690551107633;1.9194617198070585e-05;1.3440948342904449;-1.0;0.0;0.0;403.2418711785221;651.0;0.619419156956255;399.44879702063895
A95;spatial_reduced3;-0.0808847397565841;0.0;-0.0739923119544982;1.0;0.1788001716136932;0.561705932021141;1.2556025981903076;-1.0;0.0;0.0;3983.056283584769;5220.0;0.7630376022193044;3949.4332710713416
A89;spatial_reduced3;0.0060103291232813;0.0;0.0097326454644672;1.0;0.1895764698968614;0.2117598642420119;1.4785026026827095;-1.0;0.0;0.0;7578.836052733934;9996.0;0.7581868800254036;17250.990785950715
A92;spatial_reduced3;-0.0540662705898284;0.0;0.0194971561431884;1.0;0.179127961397171;5.960464455334602e-09;1.6610243320465088;-1.0;0.0;0.0;8114.753415177099;9996.0;0.8118000615423268;25297.315101586493
A84;spatial_reduced3;0.1019228627656048;0.0;0.1243534551003904;1.0;0.2413482226070482;0.0209393909044592;1.3323352093575522;-1.0;0.0;0.0;403.44307007096495;651.0;0.6197282182349692;402.5372473197354
A93;spatial_reduced3;-0.1187489265886654;0.0;-0.1102969079336588;1.0;0.2115366044530242;2.887994958178375e-06;1.5993419220001217;-1.0;0.0;0.0;5415.031672928516;7409.0;0.7308721383356075;7603.160285108775
A83;spatial_reduced3;-0.0128094202260058;0.0;-0.0491653118894532;1.0;0.1860866472818997;0.4920448288666648;1.394256459434473;-1.0;0.0;0.0;7021.942937624675;9451.0;0.7429841220637684;12788.681719717668
A92;spatial_reduced3;-0.058376163477078;0.0;0.0113821110717253;1.0;0.1794370615750085;1.7589132767115156e-05;1.659752284991555;-1.0;0.0;0.0;8118.5663463901055;9996.0;0.8121815072419073;25307.554578565843
A95;spatial_reduced3;-0.0736363870091736;0.0;-0.0685936629306525;1.0;0.1839432790922001;0.5674670994281769;1.238675685133785;-1.0;0.0;0.0;3978.850966993869;5220.0;0.7622319860141512;3945.538841404944
A89;spatial_reduced3;-0.0096029639689732;0.0;0.0036876475387543;1.0;0.1894972197251627;0.2676511135718101;1.390231642886647;-1.0;0.0;0.0;7570.190053183706;9996.0;0.7573219340920074;17240.89847169866
A83;spatial_reduced3;-0.0016299875862273;0.0;-0.0387482717864031;1.0;0.1716018509584182;0.7105478190394023;1.2995280859031482;-1.0;0.0;0.0;7015.175190594484;9451.0;0.7422680341333704;12774.593743599931
A84;spatial_reduced3;0.0882463866428224;0.0;0.1201804601957974;1.0;0.2621052873043482;0.0457148636122383;1.282527023635339;-1.0;0.0;0.0;404.5160621747103;651.0;0.621376439592489;401.18680741271385
A93;spatial_reduced3;-0.1102295897166527;0.0;-0.0822885000422388;1.0;0.1901396932222451;0.4937665451455928;1.3103817906935546;-1.0;0.0;0.0;5393.87069491514;7409.0;0.7280160203691646;7553.297256705315
