subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_int_onset;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A86;externalU2_randomx0;-0.26647139361654126;-0.009464952779126179;-0.18389260956183762;1.0;0.23255687099314853;0.9999999999999545;0.0;-1.0;0.0;1.3167913345039324;7913.833379908651;9996;0.7917000179980643;18576.57693384241
A96;externalU2_randomx0;0.356084369122982;0.7083879746496677;0.40453098714351654;1.0;0.2687161058187485;0.006126940250396673;0.0;-1.0;0.0;0.8931885659694672;5281.9134473607455;6884;0.7672738883440944;8063.671641770578
A96;externalU2_randomx0;0.24187946987785836;0.6480084739387166;0.322416899864038;1.0;0.25431531992195233;0.017194441581887043;0.0;-1.0;0.0;0.9434791927014885;5284.672982904287;6884;0.7676747505671538;8048.720981612924
A86;externalU2_randomx0;0.5919795529916883;0.764400448417291;0.6996242576278746;1.0;0.18019963096827268;0.00014365063980220638;0.0;-1.0;0.0;0.45221042074263096;7884.027167571379;9996;0.7887182040387535;18484.92350930552
A87;externalU2_randomx0;0.2738560412399238;0.39171260486136816;0.2986731091004913;1.0;0.17891799341508885;0.0017443035123505535;0.0;-1.0;0.0;0.7405133245574689;7845.357244424423;9996;0.7848496643081655;18518.16453994047
A86;externalU2_randomx0;0.2615218438440934;0.4278220212436281;0.35098401264986023;1.0;0.16002185246441514;0.924191873637028;0.0;-1.0;0.0;0.7280133792664856;7881.008685978714;9996;0.7884162350919082;18479.347282241088
A96;externalU2_randomx0;0.3817983595490375;0.6632166175047018;0.4473339684783042;1.0;0.17104059087109252;0.0005308253114662542;0.0;-1.0;0.0;0.6299598787666696;5236.922273295493;6884;0.7607382732852256;7979.006171726427
A87;externalU2_randomx0;0.06711695176488774;0.2774076984098883;0.03626309928989713;1.0;0.2867548617697184;0.0007694435723237247;0.0;-1.0;0.0;1.2614031724019696;7935.6082657440365;9996;0.7938783779255739;18849.08755521642
A93;externalU2_randomx0;-0.29280303543588104;0.015406875832809419;-0.2815138009961089;1.0;0.27693535020097787;0.40655249791219317;0.0;-1.0;0.0;1.5551695942420452;5896.052571932689;7409;0.7957960010706828;9043.2437478518
A84;externalU2_randomx0;0.606543795845937;0.5110247944830917;0.6280303986277431;1.0;0.6416022677253932;0.9999533350463026;0.0;-1.0;0.0;3.131323196226731;478.751047037773;651;0.7354086744051812;539.7290826228618
A83;externalU2_randomx0;-0.8422888634520973;-0.7183774450538181;-0.9807139746880154;1.0;0.3670739362897143;0.30552019149719456;0.0;-1.0;0.0;2.387210605463281;7433.709767393922;9451;0.7865527211293961;14343.791431687469
A95;externalU2_randomx0;0.3725567218280048;0.5436454073205823;0.36722927734444966;1.0;0.24046178758435416;0.0042672166440752;0.0;-1.0;0.0;0.9019316552003147;4326.201972000152;5220;0.8287743241379601;5502.979473610071
A89;externalU2_randomx0;-0.9552229959808756;-0.9176506437070202;-0.981453487824183;1.0;0.16814979608985597;0.001208765385672439;0.0;-1.0;0.0;1.725223657907918;7903.321680841835;9996;0.7906484274551655;19975.19499221172
